race,year,contest,candidate,party,votes,winner,source,notes
va-sen,2020,U.S. Senate (this seat),Mark R. Warner,democratic,2466500,true,clerk-2020-stats,
va-sen,2020,U.S. Senate (this seat),Daniel M. Gade,republican,1934199,false,clerk-2020-stats,
va-sen,2020,U.S. Senate (this seat),Write-in,write-in,4388,false,clerk-2020-stats,
va-sen,2024,U.S. Senate (Virginia's other seat),Tim Kaine,democratic,2417115,true,clerk-2024-stats,Virginia's other Senate seat; shown for recent statewide context.
va-sen,2024,U.S. Senate (Virginia's other seat),Hung Cao,republican,2019911,false,clerk-2024-stats,Virginia's other Senate seat; shown for recent statewide context.
va-sen,2024,U.S. Senate (Virginia's other seat),Write-in,write-in,8509,false,clerk-2024-stats,Virginia's other Senate seat; shown for recent statewide context.
va-01,2024,U.S. House,Robert J. Wittman,republican,269657,true,clerk-2024-stats,
va-01,2024,U.S. House,Leslie C. Mehta,democratic,208445,false,clerk-2024-stats,
va-01,2024,U.S. House,Write-in,write-in,804,false,clerk-2024-stats,
va-02,2024,U.S. House,Jennifer A. Kiggans,republican,207368,true,clerk-2024-stats,
va-02,2024,U.S. House,Missy Cotter Smasal,democratic,191666,false,clerk-2024-stats,
va-02,2024,U.S. House,"Robert E. Reid, Jr.",independent,9197,false,clerk-2024-stats,
va-02,2024,U.S. House,Write-in,write-in,471,false,clerk-2024-stats,
va-03,2024,U.S. House,"Robert C. ""Bobby"" Scott",democratic,219926,true,clerk-2024-stats,
va-03,2024,U.S. House,John Sitka III,republican,93801,false,clerk-2024-stats,
va-03,2024,U.S. House,Write-in,write-in,670,false,clerk-2024-stats,
va-04,2024,U.S. House,Jennifer L. McClellan,democratic,252885,true,clerk-2024-stats,
va-04,2024,U.S. House,"William J. ""Bill"" Moher III",republican,121814,false,clerk-2024-stats,
va-04,2024,U.S. House,Write-in,write-in,809,false,clerk-2024-stats,
va-05,2024,U.S. House,John J. McGuire III,republican,249564,true,clerk-2024-stats,
va-05,2024,U.S. House,Gloria Tinsley Witt,democratic,184229,false,clerk-2024-stats,
va-05,2024,U.S. House,Write-in,write-in,2046,false,clerk-2024-stats,
va-06,2024,U.S. House,Ben Cline,republican,256933,true,clerk-2024-stats,
va-06,2024,U.S. House,Ken L. Mitchell,democratic,141612,false,clerk-2024-stats,
va-06,2024,U.S. House,"Robert C. ""Robby"" Wells, Jr.",independent,7980,false,clerk-2024-stats,
va-06,2024,U.S. House,Write-in,write-in,510,false,clerk-2024-stats,
va-07,2024,U.S. House,Eugene S. Vindman,democratic,203336,true,clerk-2024-stats,
va-07,2024,U.S. House,Derrick M. Anderson,republican,192847,false,clerk-2024-stats,
va-07,2024,U.S. House,Write-in,write-in,1116,false,clerk-2024-stats,
va-08,2024,U.S. House,"Donald S. Beyer, Jr.",democratic,274593,true,clerk-2024-stats,
va-08,2024,U.S. House,Jerry W. Torres,republican,94676,false,clerk-2024-stats,
va-08,2024,U.S. House,David R. Kennedy,independent,9956,false,clerk-2024-stats,
va-08,2024,U.S. House,Bentley F. Hensel,independent,3656,false,clerk-2024-stats,
va-08,2024,U.S. House,Write-in,write-in,1034,false,clerk-2024-stats,
va-09,2024,U.S. House,H. Morgan Griffith,republican,290645,true,clerk-2024-stats,
va-09,2024,U.S. House,Karen G. H. Baker,democratic,109570,false,clerk-2024-stats,
va-09,2024,U.S. House,Write-in,write-in,748,false,clerk-2024-stats,
va-10,2024,U.S. House,Suhas Subramanyam,democratic,215131,true,clerk-2024-stats,
va-10,2024,U.S. House,Mike W. Clancy,republican,196343,false,clerk-2024-stats,
va-10,2024,U.S. House,Write-in,write-in,1538,false,clerk-2024-stats,
va-11,2024,U.S. House,Gerald E. Connolly,democratic,273529,true,clerk-2024-stats,The current incumbent (James R. Walkinshaw) was not the 2024 winner. We are adding a sourced note on how the seat changed hands.
va-11,2024,U.S. House,Mike L. Van Meter,republican,134802,false,clerk-2024-stats,
va-11,2024,U.S. House,Write-in,write-in,1855,false,clerk-2024-stats,
