poll,candidate,label,pct
tpsi-2026-05-va-sen,mark-warner,,54.6
tpsi-2026-05-va-sen,bert-mizusawa,,28.8
tpsi-2026-05-va-sen,,Moran (I),2.6
tpsi-2026-05-va-sen,,Undecided,14.0
tpsi-2026-06-va-sen,mark-warner,,50.3
tpsi-2026-06-va-sen,bert-mizusawa,,32.8
dccc-2026-09-va-01,robert-wittman,,47
dccc-2026-09-va-01,shannon-taylor,,46
dccc-2026-09-va-01,,Undecided,7
ppp-2025-08-va-01,robert-wittman,,41
ppp-2025-08-va-01,shannon-taylor,,40
tulchin-2026-07-va-02,jen-kiggans,,47
tulchin-2026-07-va-02,elaine-luria,,47
tulchin-2026-07-va-02,,Undecided,6
expedition-2026-08-va-05,john-mcguire,,47
expedition-2026-08-va-05,tom-perriello,,44
expedition-2026-08-va-05,,Undecided,9
