race,forecaster,rating,as_of,source,found_via,status,verified_by,verified_on,notes
va-sen,cook,solid-d,2026-09-15,cook-senate,wikipedia-va-sen-2026,pending,,,
va-sen,inside,solid-d,2026-09-17,inside-senate,wikipedia-va-sen-2026,pending,,,
va-sen,sabato,solid-d,2026-08-26,sabato-senate,wikipedia-va-sen-2026,pending,,,
va-01,cook,lean-r,2026-05-08,cook-house,wikipedia-va-house-2026,pending,,,
va-01,inside,lean-r,2026-05-08,inside-house,wikipedia-va-house-2026,pending,,,
va-01,sabato,lean-r,2026-05-08,sabato-house,wikipedia-va-house-2026,pending,,,
va-02,cook,tossup,2026-05-08,cook-house,wikipedia-va-house-2026,pending,,,
va-02,inside,tossup,2026-05-08,inside-house,wikipedia-va-house-2026,pending,,,
va-02,sabato,tossup,2026-05-08,sabato-house,wikipedia-va-house-2026,pending,,,
va-03,cook,solid-d,2026-04-21,cook-house,wikipedia-va-house-2026,pending,,,
va-03,inside,solid-d,2026-04-21,inside-house,wikipedia-va-house-2026,pending,,,
va-03,sabato,solid-d,2026-04-21,sabato-house,wikipedia-va-house-2026,pending,,,
va-04,cook,solid-d,2026-04-21,cook-house,wikipedia-va-house-2026,pending,,,
va-04,inside,solid-d,2026-04-21,inside-house,wikipedia-va-house-2026,pending,,,
va-04,sabato,solid-d,2026-04-21,sabato-house,wikipedia-va-house-2026,pending,,,
va-05,cook,solid-r,2026-05-08,cook-house,wikipedia-va-house-2026,pending,,,
va-05,inside,solid-r,2026-05-08,inside-house,wikipedia-va-house-2026,pending,,,
va-05,sabato,likely-r,2026-05-08,sabato-house,wikipedia-va-house-2026,pending,,,
va-06,cook,solid-r,2026-05-08,cook-house,wikipedia-va-house-2026,pending,,,
va-06,inside,solid-r,2026-05-08,inside-house,wikipedia-va-house-2026,pending,,,
va-06,sabato,solid-r,2026-05-08,sabato-house,wikipedia-va-house-2026,pending,,,
va-07,cook,likely-d,2026-05-08,cook-house,wikipedia-va-house-2026,pending,,,
va-07,inside,likely-d,2026-05-21,inside-house,wikipedia-va-house-2026,pending,,,
va-07,sabato,likely-d,2026-05-08,sabato-house,wikipedia-va-house-2026,pending,,,
va-08,cook,solid-d,2026-04-21,cook-house,wikipedia-va-house-2026,pending,,,
va-08,inside,solid-d,2026-04-21,inside-house,wikipedia-va-house-2026,pending,,,
va-08,sabato,solid-d,2026-04-21,sabato-house,wikipedia-va-house-2026,pending,,,
va-09,cook,solid-r,2026-04-21,cook-house,wikipedia-va-house-2026,pending,,,
va-09,inside,solid-r,2026-04-21,inside-house,wikipedia-va-house-2026,pending,,,
va-09,sabato,solid-r,2026-04-21,sabato-house,wikipedia-va-house-2026,pending,,,
va-10,cook,solid-d,2026-04-21,cook-house,wikipedia-va-house-2026,pending,,,
va-10,inside,solid-d,2026-04-21,inside-house,wikipedia-va-house-2026,pending,,,
va-10,sabato,solid-d,2026-04-21,sabato-house,wikipedia-va-house-2026,pending,,,
va-11,cook,solid-d,2026-04-21,cook-house,wikipedia-va-house-2026,pending,,,
va-11,inside,solid-d,2026-04-21,inside-house,wikipedia-va-house-2026,pending,,,
va-11,sabato,solid-d,2026-04-21,sabato-house,wikipedia-va-house-2026,pending,,,
